[(-69.96786460510657, -3000.154492258586, 1278.3743264257607), (-51.09835875812345, -2982.6319359056115, 1087.521166975955), (303.55659717564413, -2905.538701713752, 1324.9560612808627), (324.14757773018226, -2882.3868135517796, 1135.580388074595), (220.16134941633666, -2613.4800560082776, 1338.567090711641), (-153.7334950040568, -2714.9523386351134, 1290.4190580167551), (-132.57769703305246, -2700.1228767467182, 1098.442926525852), (243.02726121829886, -2596.442996186446, 1145.6685304290595)];
[(-55.2129369526202, -3055.9815981734687, 1275.2650344353717), (-35.699607975406565, -3041.747660747359, 1084.203128965961), (323.2667503727447, -2982.7426276786887, 1320.3395158421852), (344.82880431038154, -2962.9727234182474, 1130.688856145172), (257.0290737967741, -2686.1904314896165, 1330.7147334096685), (-122.22209196395698, -2766.270003295819, 1284.1526530598799), (-100.58505053273714, -2754.8701831014914, 1091.9959505289962), (280.50010459564635, -2672.6968557401656, 1137.6085449647285)];
[(-55.204523377085565, -3107.9011961502756, 1263.9925227388137), (-30.690958986926802, -3096.2082132197593, 1073.3347507621602), (327.7842014470493, -3072.9514555070673, 1316.344043038514), (354.8651659730689, -3055.9527053733145, 1127.1330289240614), (291.5087504536269, -2771.2172126258306, 1325.2220118618689), (-92.90652959820355, -2812.8993133771082, 1271.3730859889085), (-66.54429396041417, -2804.242434449383, 1079.663913622769), (319.92408462490766, -2760.6640290232735, 1132.597597550532)];
[(-76.72262429143981, -3138.7896284038015, 1258.7454240744355), (-45.17056835849681, -3134.409678255583, 1068.8156725684407), (305.15809504014805, -3166.0215621586617, 1322.5268271469167), (340.0694265283463, -3156.803428672266, 1134.060997467537), (318.5574529494652, -2862.310029006137, 1326.7743958724916), (-65.78980587060175, -2841.510731566094, 1261.5303483161088), (-32.88199842759141, -2840.4450707341493, 1070.6422754404396), (353.8266211920335, -2859.7243550064504, 1135.013174687276)];
[(-123.08793569002935, -3128.799771302927, 1275.0801031184292), (-91.39768496040858, -3132.8300606570133, 1085.1656184669378), (239.86199260703552, -3250.45140788186, 1339.1952983373244), (276.01346707976523, -3250.6333042402953, 1150.7379243368591), (328.7186652632763, -2959.7122301159557, 1342.869837598912), (-38.22644441869025, -2843.6759158385257, 1277.302527699561), (-6.051302424559196, -2851.2560663571367, 1086.437084662655), (363.56025942895315, -2966.412354228087, 1151.130072443437)];
[(-169.6764228116768, -3074.002807444419, 1305.344199602504), (-149.50133772340428, -3084.190710636968, 1114.09253484048), (138.78044374980325, -3305.083325191417, 1351.1556084433919), (164.46493338452285, -3313.0542353430487, 1161.1558305710284), (314.9857254411091, -3057.3137067070547, 1351.5970407924503), (0.903301196108174, -2830.273684754149, 1304.509132683831), (20.37376052461636, -2843.964429292709, 1112.270269502063), (337.22169395115714, -3070.9934662379733, 1158.357832109024)];
[(-193.46729528185563, -3006.5278859523596, 1351.2544392537816), (-195.83766511067566, -3010.92524202512, 1158.7367223795432), (45.754777396439785, -3312.1263414035157, 1356.2457677846037), (49.38039719334818, -3315.8908957334297, 1164.4233837420359), (280.4195316317568, -3119.1972965682, 1344.034429572571), (34.60472593998585, -2815.9577113684554, 1338.2857646282232), (30.532718745708884, -2823.492928121357, 1144.7684396782374), (278.9034853069825, -3127.3860468122675, 1149.217562073933)];
[(-194.27439352009725, -2921.626080459269, 1420.162134849655), (-223.8850166952534, -2912.415522664539, 1230.0926651173643), (-30.075869643274494, -3270.848460387715, 1378.627769500956), (-53.66150311139655, -3262.3472479544957, 1188.3790079042992), (237.46624199826118, -3132.0504447139083, 1338.695209531434), (66.27679350765148, -2783.669530521963, 1380.3740198587923), (34.193162919815684, -2777.0867944986735, 1189.456173588066), (207.52858635179425, -3126.5622691651824, 1146.090478040901)];
[(-193.58383788280264, -2818.75057898788, 1475.4832682053702), (-234.40971768162095, -2796.595092379967, 1288.586482101798), (-104.67871870721355, -3191.335178634874, 1412.8803506903052), (-139.76553804311104, -3171.038291507492, 1225.316773496285), (181.34867954548486, -3105.703646467088, 1355.488294186749), (85.45254859539108, -2732.591561279695, 1418.761636393053), (41.630726534084346, -2712.4985632688795, 1231.149709447919), (139.28861834568374, -3087.0348840813876, 1166.0011060925258)];
[(-227.01656790791972, -2716.764461272356, 1488.6461490241602), (-266.04153257719236, -2707.4843993794057, 1300.2875567384606), (-166.23151495474056, -3098.891331095877, 1458.2033816156068), (-199.67248607425893, -3091.942179429824, 1269.3739486616983), (125.41050291413316, -3039.9729687059835, 1395.6586776912748), (57.693407832601196, -2656.7441940740778, 1426.6798512004343), (15.526674578129388, -2649.350524620118, 1237.7628957714587), (84.89430267749114, -3034.284123241209, 1205.0044345057045)];
